name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,critic_score,critic_count,user_score,user_count,developer,rating,Manufacturer,CountDeveloper,CountPublisher
Diablo II: Lord of Destruction,PC,2001,Role-Playing,Vivendi Games,1030000,20000,0,0,8.7,21,9.1,639,Blizzard North,M,PC,1,3
The Witcher: Enhanced Edition,PC,2008,Role-Playing,Atari,320000,10000,0,0,8.6,30,8.5,1660,CD Projekt Red Studio,M,PC,5,35
The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,Electronic Arts,160000,60000,0,0,6.7,7,8.5,12,Griptonite Games,T,Nintendo,2,34
Breath of Fire II,GBA,2001,Role-Playing,Ubisoft,140000,50000,0,0,8.1,16,8.8,16,Capcom,E,Nintendo,15,50
Boktai: The Sun is in Your Hand,GBA,2003,Role-Playing,Konami Digital Entertainment,100000,40000,0,0,8.3,31,9.6,16,KCEJ,E,Nintendo,3,17
Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,100000,20000,0,0,6.7,21,7.3,12,Capcom,E,Nintendo,15,16
Phantasy Star Collection,GBA,2002,Role-Playing,Atari,80000,30000,0,0,7.6,20,8.1,7,Digital Eclipse,E,Nintendo,1,35
The Bard's Tale,XB,2004,Role-Playing,Ubisoft,80000,20000,0,0,7.5,50,8.8,4,InXile Entertainment,T,Microsoft,5,50
Sneakers,XB,2002,Puzzle,Microsoft Game Studios,70000,20000,0,0,2.8,13,4.6,8,Media Vision,E,Microsoft,8,16
Digimon World 4,GC,2005,Role-Playing,Namco Bandai Games,70000,20000,0,0,5.5,4,8.1,19,Bandai,E,Nintendo,5,61
Risen 3: Titan Lords,PC,2014,Role-Playing,Deep Silver,0,80000,0,0,6.5,49,5.7,822,Piranha Bytes,M,PC,8,19
Shining Force: Resurrection of the Dark Dragon,GBA,2004,Role-Playing,THQ,60000,20000,0,0,7.7,20,8.8,15,Amusement Vision,T,Nintendo,3,21
Shining Soul II,GBA,2003,Role-Playing,THQ,60000,20000,0,0,7.4,18,8.3,9,Grasshopper Manufacture,E,Nintendo,2,21
Evolution Worlds,GC,2002,Role-Playing,Ubisoft,60000,20000,0,0,6.3,20,8,10,Sting,E,Nintendo,7,50
Phantasy Star Online Episode III: C.A.R.D. Revolution,GC,2003,Role-Playing,Sega,60000,20000,0,0,7.1,24,8.2,13,Sonic Team,T,Nintendo,9,35
Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,0,70000,0,0,8.9,56,8.6,1848,From Software,M,PC,14,61
Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,20000,40000,0,0,4.4,8,4.4,69,Piranha Bytes,M,Microsoft,8,19
Crimson Gem Saga,PSP,2008,Role-Playing,Sega,60000,0,0,0,7.8,20,7.5,30,"IronNos Co.,Ltd.",T,Nintendo,1,35
Alien Syndrome,Weii,2007,Role-Playing,Sega,50000,0,0,0,4.8,24,7.1,23,Totally Games,T,Nintendo,2,35
Arkanoid DS,DS,2007,Puzzle,Square Enix,60000,0,0,0,6.1,29,7,5,Taito Corporation,E,Nintendo,13,89
PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,50000,0,0,0,6.6,41,7.4,17,G-Artists,E,Nintendo,1,6
Ivy the Kiwi?,Weii,2010,Puzzle,Rising Star Games,40000,20000,0,0,7.4,30,7.2,12,Prope,E,Nintendo,2,34
Zone of the Enders: The Fist of Mars,GBA,2001,Role-Playing,Konami Digital Entertainment,40000,20000,0,0,7.1,12,9,9,WinkySoft,E,Nintendo,1,17
Lost Kingdoms II,GC,2003,Role-Playing,Activision,40000,10000,0,0,6.8,25,9.1,14,From Software,T,Nintendo,14,39
Blade Dancer: Lineage of Light,PSP,2006,Role-Playing,Atari,50000,0,0,0,6,33,6.9,16,Hit Maker,E10+,Nintendo,3,35
Medabots: Infinity,GC,2003,Role-Playing,Ubisoft,40000,10000,0,0,5.1,6,8,7,Imagineer,E,Nintendo,1,50
Rhapsody: A Musical Adventure,DS,2008,Role-Playing,Nippon Ichi Software,50000,0,0,0,6.7,24,6.8,12,Nippon Ichi Software,E,Nintendo,18,46
Sacred 3,X360,2014,Role-Playing,Deep Silver,30000,20000,0,0,5.1,11,4.1,42,Deep Silver,M,Microsoft,4,19
Sigma Star Saga,GBA,2005,Role-Playing,Atari,40000,10000,0,0,6.8,34,8.2,6,WayForward,E10+,Nintendo,1,35
Ivy the Kiwi?,DS,2010,Puzzle,Rising Star Games,40000,0,0,0,6.9,20,6.3,4,Prope,E,Nintendo,2,34
The Lost Vikings,GBA,2003,Puzzle,Activision,40000,10000,0,0,7.5,16,9.1,15,Mass Media,E,Nintendo,3,39
PQ2: Practical Intelligence Quotient,PSP,2006,Puzzle,D3Publisher,40000,0,0,0,7.4,19,7.8,6,Now Production,E,Nintendo,3,12
Ys: The Ark of Napishtim,PSP,2006,Role-Playing,Konami Digital Entertainment,40000,0,0,0,6.4,29,7.3,13,Konami Software Shanghai,E10+,Nintendo,1,17
Bubble Bobble Revolution,DS,2005,Puzzle,Atari,40000,0,0,0,3.8,19,6.2,6,Taito Corporation,E,Nintendo,13,35
Boktai 2: Solar Boy Django,GBA,2004,Role-Playing,Konami Digital Entertainment,30000,10000,0,0,7.8,20,8.5,11,KCEJ,T,Nintendo,3,17
Bomberman: Act Zero,X360,2006,Puzzle,Konami Digital Entertainment,40000,0,0,0,3.4,41,2.2,42,Hudson,T,Microsoft,6,17
Meteos: Disney Magic,DS,2007,Puzzle,Disney Interactive Studios,10000,20000,0,0,7.4,36,6.6,5,Q Entertainment,E,Nintendo,5,4
Bubble Bobble Double Shot,DS,2007,Puzzle,Rising Star Games,30000,0,0,0,5,12,4.8,4,Marvelous Entertainment,E,Nintendo,1,34
Steambot Chronicles,PS2,2005,Role-Playing,505 Games,20000,10000,0,0,7.4,35,8.2,17,Irem,T,Sony,2,20
Napoleon Dynamite: The Game,PSP,2007,Puzzle,Crave Entertainment,30000,0,0,0,3.7,14,4.6,7,7 Studios,E10+,Nintendo,2,6
Crimson Tears,PS2,2004,Role-Playing,Capcom,20000,10000,0,0,6.2,30,7.8,4,DreamFactory,T,Sony,1,16
Deus Ex: Mankind Divided,PC,2016,Role-Playing,Square Enix,0,30000,0,0,8.3,55,6.1,684,"Eidos Montreal, Nixxes Software",M,PC,1,89
Astonishia Story,PSP,2006,Role-Playing,Ubisoft,30000,0,0,0,4.8,35,4.9,18,Sonnori,E10+,Nintendo,1,50
